GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring-commons-example,com.app.example.configuration,IdempotencyConfiguration,0,23,0,0,0,5,0,2,0,2
spring-commons-example,com.app.example.configuration,RedisProperties,8,15,0,0,4,6,2,3,2,3
spring-commons-example,com.app.example.configuration,RedisConfiguration,0,35,0,0,0,9,0,3,0,3
spring-commons-example,com.app.example.model,ResponseRedis,33,0,0,0,14,0,7,0,7,0
spring-commons-example,com.app.example.model,FooObject,0,16,0,0,0,8,0,4,0,4
spring-commons-example,com.app.example.idempotency.writers,HttpServletResponseCopier,3,34,1,3,1,9,1,4,0,3
spring-commons-example,com.app.example.idempotency.writers,ServletOutputStreamCopier,3,25,0,0,2,8,2,3,2,3
spring-commons-example,com.app.example.idempotency.filters,IdempontecyFilter,11,246,1,5,4,60,2,13,1,11
spring-commons-example,com.app.example.idempotency.configuration,IdempotencyProperties,0,6,0,0,0,2,0,2,0,2
spring-commons-example,com.app.example.idempotency.configuration,IdempotencyEndpoint,0,29,0,0,0,8,0,3,0,3
spring-commons-example,com.app.example.idempotency.configuration,IdempontencyFilterConnfiguration,0,33,0,0,0,8,0,3,0,3
spring-commons-example,com.app.example.idempotency.configuration,IdempotencyEndpoints,0,60,0,0,0,10,0,6,0,6
spring-commons-example,com.app.example.idempotency.exception,ArgumentnotFoundException,0,9,0,0,0,4,0,2,0,2
spring-commons-example,com.app.example.idempotency.utils,HeadersUtil,2,21,0,0,1,5,1,3,1,3
spring-commons-example,com.app.example.idempotency.utils,JsonUtils,0,57,0,4,0,12,0,5,0,3
spring-commons-example,com.app,TestApplication,5,3,0,0,2,1,1,1,1,1
spring-commons-example,com.app.example.controllers,Controller,80,7,2,0,14,2,5,2,4,2
spring-commons-example,com.app.example.controllers,IdempotencyController,0,18,0,0,0,5,0,4,0,4
spring-commons-example,com.app.example.idempotency.generators,DefaultIdempotencyKeyGenerator,0,18,0,2,0,5,0,3,0,2
